ax,ay,az,g1,g2,g3
-380,491,4108,-2,-39,-35
-376,492,4105,2,-45,-37
-379,496,4108,1,-44,-36
-379,497,4111,1,-44,-36
-372,488,4100,1,-39,-36
-372,493,4099,1,-42,-39
-373,492,4100,2,-42,-38
-371,489,4112,1,-36,-36
-370,489,4105,1,-38,-38
-372,489,4104,0,-39,-35
-376,481,4120,1,-39,-39
-374,481,4116,-1,-40,-40
-371,484,4116,0,-40,-40
-371,477,4113,0,-44,-39
-374,475,4113,0,-43,-39
-373,476,4116,0,-42,-38
-373,476,4113,2,-44,-37
-367,480,4116,0,-43,-36
-369,477,4112,0,-43,-38
-370,474,4099,0,-42,-38
-371,472,4100,4,-40,-36
-369,474,4107,1,-43,-39
-372,472,4105,0,-40,-36
-371,473,4108,0,-40,-38
-366,476,4108,0,-40,-38
-368,482,4102,0,-36,-34
-365,475,4095,0,-41,-36
-362,472,4092,0,-42,-37
-379,485,4116,-3,-44,-36
-380,486,4122,-3,-44,-36
-383,489,4125,-4,-40,-36
-363,484,4098,0,-42,-34
-365,485,4098,-1,-42,-34
-367,480,4098,0,-40,-32
-368,478,4115,0,-41,-36
-364,485,4125,1,-39,-36
-369,484,4122,-2,-41,-38
-360,473,4104,0,-40,-35
-362,476,4102,1,-40,-37
-360,485,4106,2,-40,-36
-357,462,4119,-2,-38,-30
-360,465,4111,0,-40,-35
-360,473,4104,0,-40,-35
-367,505,4105,1,-36,-24
-363,498,4102,-1,-36,-25
-356,480,4108,-3,-37,-24
-374,476,4110,0,-38,-36
-375,483,4110,0,-38,-37
-378,490,4112,2,-36,-38
-375,480,4105,4,-40,-35
-381,478,4106,2,-38,-37
-377,472,4107,2,-38,-36
-392,490,4110,0,-37,-38
-384,485,4112,0,-39,-38
-372,482,4112,0,-40,-38
-395,497,4112,-4,-44,-35
-400,493,4113,-2,-44,-37
-397,492,4110,0,-40,-38
-392,509,4112,0,-47,-39
-389,508,4104,-3,-45,-38
-385,501,4101,-3,-45,-37
-248,512,4128,0,-48,-39
-340,513,4112,-2,-47,-37
-395,512,4110,-2,-46,-36
-379,473,4072,-4,-52,-32
-383,468,4099,-3,-54,-34
-455,528,4093,4,-52,-40
-387,545,4081,-4,-48,-44
-394,532,4080,-1,-45,-43
-390,502,4086,4,-42,-40
-491,580,4105,-5,-66,-53
-463,569,4140,-8,-51,-43
-374,524,4147,-8,-51,-43
-295,641,4073,8,-64,-72
-283,640,4060,11,-76,-71
-314,549,4099,5,-77,-60
-283,468,4161,-3,-96,-103
-277,429,4154,-5,-90,-91
-295,436,4162,3,-70,-74
-369,388,4093,7,-82,-74
-392,372,4093,6,-89,-80
-386,389,4082,5,-100,-86
-306,412,4063,6,-65,-69
-331,372,4089,7,-74,-68
-369,388,4093,7,-82,-74
-367,312,4181,-12,-40,36
-377,282,4153,-10,-38,13
-347,265,4130,-5,-43,-8
-321,490,4148,-6,-48,31
-338,384,4165,-13,-43,36
-367,312,4181,-12,-40,36
-312,496,4065,13,-48,-8
-314,511,4051,2,-55,4
-320,524,4091,0,-50,21
-332,405,4110,2,-37,-20
-323,417,4061,4,-39,-24
-326,428,4079,6,-44,-23
-310,450,4103,1,-35,-14
-315,417,4116,1,-36,-15
-332,405,4110,2,-37,-20
-343,505,4088,-12,-28,-11
-329,492,4085,-11,-31,-10
-314,474,4073,-6,-34,-11
-372,541,4084,-4,-24,-20
-367,544,4082,-5,-24,-19
-369,543,4105,-5,-21,-15
-392,563,4099,-7,-26,-35
-386,547,4098,-7,-24,-28
-372,541,4084,-4,-24,-20
-395,554,4122,-4,-32,-44
-391,575,4102,-2,-32,-43
-392,584,4104,0,-30,-42
-422,563,4089,-2,-42,-50
-408,536,4100,1,-43,-48
-419,539,4095,-3,-41,-51
-403,560,4081,-3,-39,-52
-405,571,4086,-4,-39,-53
-414,559,4093,-3,-40,-51
-396,565,4109,4,-44,-59
-386,575,4103,4,-43,-58
-389,570,4094,1,-41,-55
-407,540,4101,-4,-40,-71
-415,549,4101,-2,-41,-72
-417,556,4104,0,-43,-69
-391,513,4106,-1,-44,-67
-408,517,4097,-4,-44,-71
-407,525,4100,-4,-43,-72
-322,457,4118,1,-51,-71
-339,464,4116,1,-47,-67
-349,472,4110,1,-48,-68
-312,436,4116,17,-67,-83
-315,445,4124,16,-62,-81
-324,454,4126,14,-64,-80
-296,436,4120,8,-55,-92
-295,428,4120,10,-60,-90
-299,414,4124,14,-66,-86
-271,414,4128,7,-57,-106
-262,413,4124,6,-55,-100
-255,408,4129,9,-55,-96
-359,449,4173,32,-83,-104
-288,446,4141,27,-80,-106
-214,402,4115,18,-68,-106
-476,392,4076,4,-67,-87
-451,418,4087,5,-69,-102
-380,472,4094,6,-68,-114
-420,436,4092,0,-35,-39
-464,413,4067,1,-41,-48
-500,385,4037,4,-51,-67
-368,505,4124,-3,-40,-28
-365,503,4129,-3,-37,-27
-360,486,4126,-4,-33,-25
-379,516,4097,2,-41,-29
-377,512,4099,2,-42,-31
-369,508,4104,0,-40,-30
-381,513,4101,0,-38,-29
-378,516,4103,-1,-40,-29
-379,516,4097,2,-41,-29
-368,519,4094,0,-22,-25
-359,521,4104,1,-24,-24
-367,516,4097,-1,-26,-23
-355,559,4131,-1,-22,-27
-344,544,4140,0,-16,-28
-314,492,4133,-2,-16,-28
-468,472,4145,4,-44,-39
-399,481,4112,2,-43,-40
-358,480,4100,2,-42,-41
-352,485,4104,9,-32,-32
-387,485,4093,8,-35,-41
-368,467,4058,6,-45,-42
-351,468,4128,9,-36,-39
-341,452,4119,1,-43,-41
-336,436,4100,-1,-48,-41
-345,446,4110,1,-42,-38
-343,445,4116,-3,-47,-39
-346,449,4110,-2,-46,-41
-343,452,4117,1,-47,-36
-349,453,4122,-1,-44,-36
-363,454,4124,0,-42,-36
-348,464,4108,0,-48,-35
-353,464,4108,0,-47,-36
-352,461,4116,0,-47,-36
-352,485,4113,4,-24,-35
-328,471,4080,1,-34,-36
-307,454,4053,0,-44,-35
-343,477,4124,1,-35,-32
-342,471,4126,-3,-42,-37
-356,472,4126,-2,-36,-36
-342,490,4080,1,-39,-35
-359,492,4100,5,-39,-35
-354,486,4114,2,-37,-34
-379,496,4124,1,-40,-32
-396,509,4158,2,-37,-33
-386,504,4142,3,-26,-32
-368,512,4089,8,-39,-32
-369,510,4090,6,-40,-31
-353,500,4092,6,-40,-30
-356,497,4085,14,-25,-31
-320,488,4113,5,-39,-32
-342,498,4105,5,-39,-32
-357,489,4089,1,-45,-38
-367,492,4085,-4,-51,-36
-394,513,4103,2,-40,-36
-367,501,4104,1,-43,-39
-386,510,4104,0,-43,-40
-403,522,4110,8,-32,-38
-387,500,4109,4,-35,-39
-382,496,4109,4,-38,-39
-367,489,4109,4,-39,-40
-372,493,4116,5,-36,-40
-358,487,4108,2,-39,-40
-352,485,4101,0,-40,-40
-359,492,4105,-3,-51,-39
-371,492,4110,-2,-50,-41
-388,484,4116,0,-47,-39
-332,473,4090,2,-44,-40
-341,478,4090,0,-48,-40
-359,492,4105,-3,-51,-39
-336,469,4119,3,-39,-39
-336,469,4113,4,-39,-40
-348,474,4115,0,-37,-42
-331,468,4122,2,-41,-40
-332,468,4119,1,-41,-40
-337,474,4118,2,-38,-38
-331,457,4105,1,-44,-35
-335,462,4110,0,-42,-38
-337,465,4118,2,-41,-39
-340,462,4130,2,-40,-36
-338,466,4129,3,-38,-37
-329,462,4126,2,-42,-36
-348,451,4102,4,-43,-34
-340,449,4113,4,-40,-32
-340,452,4122,2,-41,-35
-354,455,4112,0,-40,-34
-343,453,4108,1,-43,-32
-346,455,4097,2,-43,-33
-362,474,4101,2,-41,-33
-363,466,4107,2,-39,-33
-363,464,4115,2,-38,-33
-367,488,4105,-3,-44,-31
-377,483,4113,0,-41,-32
-375,484,4120,0,-40,-32
-371,496,4100,-1,-41,-33
-375,495,4101,-3,-43,-33
-372,490,4102,-2,-42,-32
-381,510,4110,1,-40,-34
-375,508,4108,1,-36,-32
-369,504,4100,1,-39,-34
